gid0,species_pct,species_included,cumarea,totparea,cmbparea,totarea,parea_pct,bname,cname,tcmbparea,cname0,unregion2,wbincomegroup
ARE,60,2,727.965860779128,12003.3585980268,12731.3244588059,70730.7315833197,17.9997070209978,United_Arab_Emirates_ARE,United_Arab_Emirates,12731.3244588059,United Arab Emirates,Asia,High income
ARE,65,2,739.15694348245,12003.3585980268,12742.5155415093,70730.7315833197,18.0155291148075,United_Arab_Emirates_ARE,United_Arab_Emirates,12742.5155415093,United Arab Emirates,Asia,High income
ARE,70,2,750.348026185772,12003.3585980268,12753.7066242126,70730.7315833197,18.0313512086171,United_Arab_Emirates_ARE,United_Arab_Emirates,12753.7066242126,United Arab Emirates,Asia,High income
ARE,75,2,761.539108889094,12003.3585980268,12764.8977069159,70730.7315833197,18.0471733024266,United_Arab_Emirates_ARE,United_Arab_Emirates,12764.8977069159,United Arab Emirates,Asia,High income
ARE,80,2,772.730191592416,12003.3585980268,12776.0887896192,70730.7315833197,18.0629953962362,United_Arab_Emirates_ARE,United_Arab_Emirates,12776.0887896192,United Arab Emirates,Asia,High income
ARE,85,2,783.921274295738,12003.3585980268,12787.2798723225,70730.7315833197,18.0788174900457,United_Arab_Emirates_ARE,United_Arab_Emirates,12787.2798723225,United Arab Emirates,Asia,High income
ARE,90,2,795.11235699906,12003.3585980268,12798.4709550259,70730.7315833197,18.0946395838554,United_Arab_Emirates_ARE,United_Arab_Emirates,12798.4709550259,United Arab Emirates,Asia,High income
ARE,95,2,806.303439702382,12003.3585980268,12809.6620377292,70730.7315833197,18.110461677665,United_Arab_Emirates_ARE,United_Arab_Emirates,12809.6620377292,United Arab Emirates,Asia,High income
ARE,100,2,817.494522405704,12003.3585980268,12820.8531204325,70730.7315833197,18.1262837714745,United_Arab_Emirates_ARE,United_Arab_Emirates,12820.8531204325,United Arab Emirates,Asia,High income
ARG,0,0,0,281926.306360066,281926.306360066,2778951.80945959,10.1450592054308,Argentina_ARG,Argentina,281926.306360066,Argentina,Southern America,Upper middle income
ARG,5,30,16092.9784940645,281926.306360066,298019.284854131,2778951.80945959,10.7241616727454,Argentina_ARG,Argentina,298019.284854131,Argentina,Southern America,Upper middle income
ARG,10,59,28734.583346966,281926.306360066,310660.889707032,2778951.80945959,11.1790671809975,Argentina_ARG,Argentina,310660.889707032,Argentina,Southern America,Upper middle income
ARG,15,88,42697.4299948452,281926.306360066,324623.736354911,2778951.80945959,11.6815172990725,Argentina_ARG,Argentina,324623.736354911,Argentina,Southern America,Upper middle income
ARG,20,117,49837.7186692876,281926.306360066,331764.025029354,2778951.80945959,11.9384590945415,Argentina_ARG,Argentina,331764.025029354,Argentina,Southern America,Upper middle income
ARG,25,146,58919.7878695869,281926.306360066,340846.094229653,2778951.80945959,12.2652754563576,Argentina_ARG,Argentina,340846.094229653,Argentina,Southern America,Upper middle income
ARG,30,175,68551.6198705493,281926.306360066,350477.926230615,2778951.80945959,12.6118749176428,Argentina_ARG,Argentina,350477.926230615,Argentina,Southern America,Upper middle income
